Country,Share of women inventors 
Australia,13.3 
Austria,5.2 
Belgium,12.3 
Canada,11.4 
Chile,13.2 
Colombia,16.8 
Czech Republic,6.8 
Denmark,13.7 
Estonia,16.2 
Finland,8.1 
France,11.3 
Germany,6.5 
Greece,21.5 
Hungary,6.9 
Ireland,11.6 
Israel,10.1 
Italy,8.1 
Japan,8.1 
Lithuania,16.3 
Luxembourg,9.4 
Mexico,9.7 
Netherlands,10.1 
New Zealand,5.5 
Norway,7.9 
Poland,11.7 
Portugal,26.6 
Slovak Republic,6.8 
Slovenia,8.4 
Spain,14.6 
Sweden,7.7 
Switzerland,8.5 
Türkiye,16.0 
United Kingdom,10.5 
United States,12.4 
  Argentina,16.1 
  Brazil,15.6 
  India,12.9 
  South Africa,17.5 