Occupation,Number of workers,Median weekly earnings,Number of workers (M),Median weekly earnings  (M),Number of workers (F),Median weekly earnings (W),Wage Difference,Annual Difference,Cents per dollar,Gender Gap
"Total, full-time wage and salary workers",114316.0,998.0,62928.0,1097.0,51388.0,912.0,185.0,9620.0,83.14,16.864175022789425
"Management, professional, and related occupations",51166.0,1390.0,24561.0,1609.0,26605.0,1222.0,387.0,20124.0,75.95,24.052206339341208
"Management, business, and financial operations occupations",21529.0,1482.0,11231.0,1672.0,10299.0,1306.0,366.0,19032.0,78.11,21.88995215311005
Management occupations,13942.0,1546.0,7826.0,1752.0,6116.0,1341.0,411.0,21372.0,76.54,23.458904109589042
Chief executives,1151.0,2473.0,803.0,2721.0,348.0,1904.0,817.0,42484.0,69.97,30.025725836089673
General and operations managers,999.0,1449.0,637.0,1548.0,361.0,1285.0,263.0,13676.0,83.01,16.98966408268734
Marketing managers,490.0,1545.0,182.0,1698.0,309.0,1490.0,208.0,10816.0,87.75,12.249705535924617
Sales managers,500.0,1749.0,350.0,1910.0,150.0,1344.0,566.0,29432.0,70.37,29.63350785340314
Computer and information systems managers,675.0,2085.0,492.0,2135.0,184.0,1908.0,227.0,11804.0,89.37,10.63231850117096
Financial managers,1220.0,1569.0,539.0,1885.0,681.0,1372.0,513.0,26676.0,72.79,27.214854111405835
Purchasing managers,214.0,1562.0,117.0,1612.0,97.0,1363.0,249.0,12948.0,84.55,15.446650124069478
"Transportation, storage, and distribution managers",304.0,1113.0,239.0,1221.0,65.0,984.0,237.0,12324.0,80.59,19.41031941031941
Construction managers,633.0,1534.0,578.0,1548.0,54.0,1165.0,383.0,19916.0,75.26,24.741602067183464
Education and childcare administrators,856.0,1551.0,315.0,1857.0,540.0,1411.0,446.0,23192.0,75.98,24.01723209477652
Food service managers,758.0,881.0,360.0,1014.0,398.0,789.0,225.0,11700.0,77.81,22.189349112426036
Medical and health services managers,676.0,1463.0,161.0,1773.0,515.0,1363.0,410.0,21320.0,76.88,23.124647490129725
"Property, real estate, and community association managers",466.0,1162.0,212.0,1360.0,254.0,1086.0,274.0,14248.0,79.85,20.147058823529413
Social and community service managers,348.0,1204.0,125.0,1317.0,222.0,1150.0,167.0,8684.0,87.32,12.680334092634777
"Managers, all other",3276.0,1573.0,1924.0,1747.0,1352.0,1396.0,351.0,18252.0,79.91,20.091585575271896
Business and financial operations occupations,7587.0,1382.0,3404.0,1552.0,4183.0,1253.0,299.0,15548.0,80.73,19.265463917525775
"Wholesale and retail buyers, except farm products",126.0,1061.0,56.0,1072.0,69.0,1027.0,45.0,2340.0,95.8,4.197761194029851
"Purchasing agents, except wholesale, retail, and farm products",212.0,1165.0,80.0,1165.0,132.0,1165.0,0.0,0.0,100.0,0.0
"Claims adjusters, appraisers, examiners, and investigators",327.0,1147.0,138.0,1327.0,189.0,973.0,354.0,18408.0,73.32,26.6767143933685
Compliance officers,274.0,1369.0,137.0,1331.0,137.0,1423.0,-92.0,-4784.0,106.91,-6.912096168294515
Human resources workers,795.0,1251.0,217.0,1411.0,579.0,1212.0,199.0,10348.0,85.9,14.10347271438696
Training and development specialists,130.0,1342.0,66.0,1464.0,64.0,1195.0,269.0,13988.0,81.63,18.37431693989071
Project management specialists,735.0,1649.0,415.0,1861.0,321.0,1455.0,406.0,21112.0,78.18,21.81622783449758
Management analysts,707.0,1608.0,384.0,1887.0,323.0,1451.0,436.0,22672.0,76.89,23.105458399576044
Market research analysts and marketing specialists,335.0,1446.0,135.0,1743.0,200.0,1276.0,467.0,24284.0,73.21,26.792885829030403
"Business operations specialists, all other",497.0,1241.0,208.0,1326.0,289.0,1162.0,164.0,8528.0,87.63,12.368024132730016
Accountants and auditors,1374.0,1345.0,521.0,1494.0,852.0,1261.0,233.0,12116.0,84.4,15.595716198125837
Financial and investment analysts,313.0,1719.0,177.0,1837.0,137.0,1607.0,230.0,11960.0,87.48,12.520413718018508
Personal financial advisors,389.0,1773.0,235.0,2183.0,154.0,1424.0,759.0,39468.0,65.23,34.7686669720568
Credit counselors and loan officers,427.0,1332.0,208.0,1560.0,218.0,1127.0,433.0,22516.0,72.24,27.75641025641026
Professional and related occupations,29637.0,1335.0,13330.0,1555.0,16306.0,1167.0,388.0,20176.0,75.05,24.95176848874598
Computer and mathematical occupations,5267.0,1660.0,3917.0,1742.0,1350.0,1499.0,243.0,12636.0,86.05,13.949483352468429
Computer systems analysts,423.0,1489.0,266.0,1556.0,157.0,1414.0,142.0,7384.0,90.87,9.125964010282777
Computer programmers,387.0,1734.0,308.0,1742.0,79.0,1677.0,65.0,3380.0,96.27,3.731343283582089
Software developers,1875.0,1922.0,1507.0,1992.0,369.0,1840.0,152.0,7904.0,92.37,7.630522088353414
Computer support specialists,620.0,1256.0,471.0,1265.0,148.0,1209.0,56.0,2912.0,95.57,4.426877470355731
"Computer occupations, all other",787.0,1413.0,577.0,1483.0,211.0,1143.0,340.0,17680.0,77.07,22.92650033715442
Operations research analysts,126.0,1574.0,60.0,1773.0,67.0,1408.0,365.0,18980.0,79.41,20.586576424139878
Other mathematical science occupations,213.0,1458.0,115.0,1470.0,99.0,1388.0,82.0,4264.0,94.42,5.578231292517007
Architecture and engineering occupations,2985.0,1641.0,2483.0,1725.0,502.0,1435.0,290.0,15080.0,83.19,16.81159420289855
Civil engineers,403.0,1633.0,334.0,1661.0,69.0,1531.0,130.0,6760.0,92.17,7.826610475617097
"Industrial engineers, including health and safety",221.0,1648.0,161.0,1725.0,60.0,1571.0,154.0,8008.0,91.07,8.927536231884057
"Engineers, all other",602.0,1771.0,505.0,1833.0,97.0,1549.0,284.0,14768.0,84.51,15.493726132024005
"Other engineering technologists and technicians, except drafters",275.0,1245.0,222.0,1367.0,52.0,903.0,464.0,24128.0,66.06,33.94294074615947
"Life, physical, and social science occupations",1391.0,1407.0,763.0,1496.0,627.0,1342.0,154.0,8008.0,89.71,10.294117647058822
Medical scientists,116.0,1662.0,57.0,2291.0,59.0,1368.0,923.0,47996.0,59.71,40.288083806198166
"Physical scientists, all other",332.0,1738.0,193.0,1933.0,138.0,1500.0,433.0,22516.0,77.6,22.400413864459388
"Other life, physical, and social science technicians",213.0,1093.0,114.0,1142.0,98.0,1059.0,83.0,4316.0,92.73,7.267950963222416
Community and social service occupations,2276.0,1065.0,788.0,1164.0,1489.0,1016.0,148.0,7696.0,87.29,12.714776632302405
"Educational, guidance, and career counselors and advisors",296.0,1091.0,69.0,1173.0,228.0,1077.0,96.0,4992.0,91.82,8.184143222506394
"Counselors, all other",181.0,953.0,75.0,1083.0,107.0,860.0,223.0,11596.0,79.41,20.59095106186519
"Social workers, all other",601.0,1073.0,93.0,1232.0,508.0,1049.0,183.0,9516.0,85.15,14.853896103896103
Legal occupations,1401.0,1586.0,594.0,2233.0,807.0,1332.0,901.0,46852.0,59.65,40.34930586654725
Lawyers,793.0,2252.0,462.0,2495.0,331.0,1912.0,583.0,30316.0,76.63,23.366733466933866
Paralegals and legal assistants,361.0,1080.0,51.0,1229.0,310.0,1065.0,164.0,8528.0,86.66,13.344182262001627
"Education, training, and library occupations",7124.0,1138.0,1877.0,1332.0,5248.0,1071.0,261.0,13572.0,80.41,19.594594594594593
Postsecondary teachers,920.0,1550.0,460.0,1653.0,460.0,1483.0,170.0,8840.0,89.72,10.284331518451301
Elementary and middle school teachers,3000.0,1163.0,625.0,1301.0,2375.0,1138.0,163.0,8476.0,87.47,12.528823981552653
Secondary school teachers,860.0,1216.0,365.0,1269.0,495.0,1159.0,110.0,5720.0,91.33,8.668242710795901
Special education teachers,338.0,1126.0,64.0,1198.0,275.0,1097.0,101.0,5252.0,91.57,8.430717863105174
Other teachers and instructors,389.0,1118.0,165.0,1260.0,224.0,1002.0,258.0,13416.0,79.52,20.476190476190474
Teaching assistants,803.0,641.0,116.0,639.0,687.0,641.0,-2.0,-104.0,100.31,-0.3129890453834116
"Arts, design, entertainment, sports, and media occupations",1707.0,1229.0,925.0,1317.0,781.0,1145.0,172.0,8944.0,86.94,13.059984813971145
Graphic designers,180.0,1163.0,89.0,1151.0,91.0,1225.0,-74.0,-3848.0,106.43,-6.429192006950478
Other designers,284.0,1402.0,185.0,1429.0,99.0,1271.0,158.0,8216.0,88.94,11.056682995101468
Producers and directors,139.0,1369.0,78.0,1522.0,61.0,1347.0,175.0,9100.0,88.5,11.498028909329829
Healthcare practitioners and technical occupations,7485.0,1273.0,1983.0,1516.0,5503.0,1218.0,298.0,15496.0,80.34,19.656992084432716
Pharmacists,245.0,2019.0,112.0,2010.0,133.0,2087.0,-77.0,-4004.0,103.83,-3.8308457711442783
Other physicians,714.0,2418.0,410.0,2647.0,304.0,2283.0,364.0,18928.0,86.25,13.751416698148846
Physical therapists,203.0,1527.0,74.0,1551.0,129.0,1478.0,73.0,3796.0,95.29,4.706640876853642
Registered nurses,2615.0,1305.0,375.0,1437.0,2240.0,1274.0,163.0,8476.0,88.66,11.343075852470424
Clinical laboratory technologists and technicians,322.0,992.0,112.0,964.0,210.0,1001.0,-37.0,-1924.0,103.84,-3.8381742738589213
Radiologic technologists and technicians,201.0,1167.0,64.0,1280.0,137.0,1140.0,140.0,7280.0,89.06,10.9375
Pharmacy technicians,268.0,800.0,61.0,822.0,207.0,796.0,26.0,1352.0,96.84,3.1630170316301705
Miscellaneous health technologists and technicians,150.0,891.0,54.0,1003.0,97.0,835.0,168.0,8736.0,83.25,16.749750747756732
Service occupations,14630.0,644.0,7000.0,723.0,7630.0,598.0,125.0,6500.0,82.71,17.289073305670815
Healthcare support occupations,3269.0,637.0,527.0,723.0,2742.0,624.0,99.0,5148.0,86.31,13.692946058091287
Personal care aides,848.0,611.0,192.0,666.0,656.0,598.0,68.0,3536.0,89.79,10.21021021021021
Nursing assistants,916.0,626.0,110.0,740.0,805.0,615.0,125.0,6500.0,83.11,16.89189189189189
Medical assistants,482.0,676.0,51.0,980.0,430.0,668.0,312.0,16224.0,68.16,31.83673469387755
Protective service occupations,2608.0,998.0,2031.0,1067.0,577.0,814.0,253.0,13156.0,76.29,23.711340206185564
Correctional officers and jailers,275.0,920.0,199.0,983.0,76.0,807.0,176.0,9152.0,82.1,17.90437436419125
Police officers,751.0,1232.0,638.0,1242.0,113.0,1197.0,45.0,2340.0,96.38,3.6231884057971016
Security guards and gambling surveillance officers,675.0,689.0,502.0,704.0,172.0,641.0,63.0,3276.0,91.05,8.948863636363637
Food preparation and serving related occupations,3863.0,573.0,1962.0,598.0,1901.0,534.0,64.0,3328.0,89.3,10.702341137123746
Chefs and head cooks,319.0,750.0,256.0,777.0,63.0,655.0,122.0,6344.0,84.3,15.701415701415703
First-line supervisors of food preparation and serving workers,349.0,621.0,126.0,706.0,223.0,596.0,110.0,5720.0,84.42,15.58073654390935
Cooks,1187.0,549.0,751.0,572.0,436.0,512.0,60.0,3120.0,89.51,10.48951048951049
Food preparation workers,439.0,547.0,184.0,571.0,254.0,531.0,40.0,2080.0,92.99,7.005253940455342
Bartenders,217.0,668.0,106.0,709.0,111.0,627.0,82.0,4264.0,88.43,11.56558533145275
Fast food and counter workers,268.0,507.0,96.0,511.0,172.0,503.0,8.0,416.0,98.43,1.5655577299412915
Waiters and waitresses,674.0,576.0,258.0,605.0,416.0,524.0,81.0,4212.0,86.61,13.388429752066116
Dining room and cafeteria attendants and bartender helpers,102.0,509.0,52.0,583.0,50.0,477.0,106.0,5512.0,81.82,18.181818181818183
Building and grounds cleaning and maintenance occupations,3347.0,623.0,2094.0,685.0,1253.0,555.0,130.0,6760.0,81.02,18.97810218978102
First-line supervisors of housekeeping and janitorial workers,176.0,829.0,116.0,881.0,60.0,728.0,153.0,7956.0,82.63,17.366628830874006
Janitors and building cleaners,1437.0,630.0,943.0,675.0,494.0,561.0,114.0,5928.0,83.11,16.88888888888889
Maids and housekeeping cleaners,744.0,546.0,107.0,622.0,637.0,529.0,93.0,4836.0,85.05,14.951768488745982
Personal care and service occupations,1543.0,618.0,387.0,699.0,1157.0,603.0,96.0,4992.0,86.27,13.733905579399142
Sales and office occupations,21748.0,826.0,8677.0,970.0,13071.0,766.0,204.0,10608.0,78.97,21.030927835051546
Sales and related occupations,9281.0,887.0,5090.0,1049.0,4191.0,720.0,329.0,17108.0,68.64,31.36320305052431
First-line supervisors of retail sales workers,2165.0,875.0,1175.0,992.0,990.0,733.0,259.0,13468.0,73.89,26.108870967741936
First-line supervisors of non-retail sales workers,833.0,1191.0,540.0,1257.0,292.0,1130.0,127.0,6604.0,89.9,10.103420843277645
Cashiers,1235.0,515.0,346.0,520.0,888.0,513.0,7.0,364.0,98.65,1.3461538461538463
Retail salespersons,1665.0,745.0,999.0,855.0,666.0,635.0,220.0,11440.0,74.27,25.730994152046783
Insurance sales agents,462.0,1008.0,213.0,1253.0,249.0,839.0,414.0,21528.0,66.96,33.04070231444533
"Securities, commodities, and financial services sales agents",206.0,1630.0,137.0,1891.0,69.0,1054.0,837.0,43524.0,55.74,44.26229508196721
"Sales representatives of services, except advertising, insurance, financial services, and travel",523.0,1169.0,368.0,1237.0,155.0,1122.0,115.0,5980.0,90.7,9.296685529506872
"Sales representatives, wholesale and manufacturing",1014.0,1263.0,712.0,1356.0,301.0,1157.0,199.0,10348.0,85.32,14.67551622418879
Real estate brokers and sales agents,524.0,1141.0,222.0,1324.0,302.0,1037.0,287.0,14924.0,78.32,21.676737160120847
"Sales and related workers, all other",298.0,943.0,157.0,1017.0,140.0,843.0,174.0,9048.0,82.89,17.10914454277286
Office and administrative support occupations,12467.0,806.0,3587.0,899.0,8880.0,779.0,120.0,6240.0,86.65,13.348164627363737
First-line supervisors of office and administrative support workers,1098.0,964.0,341.0,1184.0,757.0,913.0,271.0,14092.0,77.11,22.888513513513516
Billing and posting clerks,398.0,772.0,53.0,767.0,346.0,774.0,-7.0,-364.0,100.91,-0.9126466753585397
"Bookkeeping, accounting, and auditing clerks",741.0,825.0,137.0,1009.0,604.0,802.0,207.0,10764.0,79.48,20.515361744301288
Customer service representatives,1863.0,780.0,645.0,867.0,1219.0,737.0,130.0,6760.0,85.01,14.994232987312571
Receptionists and information clerks,871.0,685.0,97.0,796.0,774.0,674.0,122.0,6344.0,84.67,15.326633165829145
Couriers and messengers,492.0,802.0,402.0,846.0,90.0,680.0,166.0,8632.0,80.38,19.62174940898345
"Dispatchers, except police, fire, and ambulance",163.0,812.0,92.0,842.0,71.0,765.0,77.0,4004.0,90.86,9.144893111638956
Postal service mail carriers,259.0,992.0,155.0,1008.0,104.0,978.0,30.0,1560.0,97.02,2.976190476190476
"Production, planning, and expediting clerks",184.0,1115.0,93.0,1174.0,91.0,1018.0,156.0,8112.0,86.71,13.287904599659283
"Shipping, receiving, and inventory clerks",537.0,725.0,346.0,748.0,191.0,696.0,52.0,2704.0,93.05,6.951871657754011
"Secretaries and administrative assistants, except legal, medical, and executive",1532.0,819.0,127.0,1006.0,1405.0,807.0,199.0,10348.0,80.22,19.781312127236582
Insurance claims and policy processing clerks,262.0,763.0,60.0,754.0,202.0,766.0,-12.0,-624.0,101.59,-1.5915119363395225
"Office clerks, general",927.0,744.0,157.0,823.0,770.0,726.0,97.0,5044.0,88.21,11.7861482381531
"Office and administrative support workers, all other",582.0,890.0,187.0,949.0,395.0,874.0,75.0,3900.0,92.1,7.903055848261328
"Natural resources, construction, and maintenance occupations",11182.0,919.0,10635.0,930.0,547.0,696.0,234.0,12168.0,74.84,25.161290322580644
"Farming, fishing, and forestry occupations",800.0,623.0,651.0,637.0,149.0,585.0,52.0,2704.0,91.84,8.16326530612245
Miscellaneous agricultural workers,641.0,613.0,531.0,617.0,110.0,590.0,27.0,1404.0,95.62,4.376012965964344
Construction and extraction occupations,6171.0,904.0,5965.0,908.0,207.0,720.0,188.0,9776.0,79.3,20.704845814977972
"Installation, maintenance, and repair occupations",4211.0,1017.0,4019.0,1023.0,192.0,836.0,187.0,9724.0,81.72,18.27956989247312
"Production, transportation, and material moving occupations",15590.0,774.0,12056.0,825.0,3535.0,638.0,187.0,9724.0,77.33,22.666666666666664
Production occupations,7107.0,809.0,5251.0,884.0,1856.0,653.0,231.0,12012.0,73.87,26.131221719457017
First-line supervisors of production and operating workers,738.0,1080.0,601.0,1138.0,137.0,796.0,342.0,17784.0,69.95,30.052724077328648
Other assemblers and fabricators,894.0,710.0,579.0,751.0,315.0,664.0,87.0,4524.0,88.42,11.584553928095872
Bakers,143.0,614.0,57.0,664.0,86.0,599.0,65.0,3380.0,90.21,9.789156626506024
"Food processing workers, all other",136.0,734.0,84.0,818.0,52.0,648.0,170.0,8840.0,79.22,20.78239608801956
Other metal workers and plastic workers,340.0,769.0,276.0,783.0,64.0,731.0,52.0,2704.0,93.36,6.641123882503193
"Inspectors, testers, sorters, samplers, and weighers",750.0,883.0,466.0,1005.0,283.0,733.0,272.0,14144.0,72.94,27.064676616915424
Packaging and filling machine operators and tenders,251.0,671.0,133.0,755.0,118.0,605.0,150.0,7800.0,80.13,19.867549668874172
Other production workers,1022.0,761.0,742.0,809.0,280.0,630.0,179.0,9308.0,77.87,22.126081582200246
Transportation and material moving occupations,8483.0,738.0,6804.0,786.0,1679.0,624.0,162.0,8424.0,79.39,20.610687022900763
Supervisors of transportation and material moving workers,310.0,996.0,241.0,1077.0,68.0,779.0,298.0,15496.0,72.33,27.669452181987005
"Bus drivers, school",125.0,710.0,57.0,712.0,69.0,695.0,17.0,884.0,97.61,2.387640449438202
"Bus drivers, transit and intercity",182.0,801.0,111.0,942.0,71.0,679.0,263.0,13676.0,72.08,27.919320594479828
Driver/sales workers and truck drivers,2680.0,920.0,2499.0,933.0,181.0,732.0,201.0,10452.0,78.46,21.54340836012862
Industrial truck and tractor operators,581.0,743.0,526.0,746.0,55.0,713.0,33.0,1716.0,95.58,4.423592493297587
"Laborers and freight, stock, and material movers, hand",1649.0,689.0,1294.0,703.0,355.0,624.0,79.0,4108.0,88.76,11.2375533428165
"Packers and packagers, hand",541.0,614.0,233.0,633.0,308.0,603.0,30.0,1560.0,95.26,4.739336492890995
Stockers and order fillers,1151.0,612.0,752.0,620.0,400.0,603.0,17.0,884.0,97.26,2.741935483870968
